Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2098 2T24 0412 HERNANDEZ TJ.pdf,HERNANDEZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2098_2T24_0412_HERNANDEZ_TJ.xlsx
2099 2T24 0412 MIGUEZ CAL SL TR.pdf,MIGUEZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2099_2T24_0412_MIGUEZ_CAL_SL_TR.xlsx
2100 2T24 0413 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2100_2T24_0413_JIMELUZ_EF.xlsx
2101 2T24 0415 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2101_2T24_0415_JIMELUZ_EF.xlsx
2102 2T24 0418 DISBER SL TR.pdf,DISBER,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2102_2T24_0418_DISBER_SL_TR.xlsx
2103 2T24 0419 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2103_2T24_0419_BM_TJ.xlsx
2104 2T24 0420 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2104_2T24_0420_JIMELUZ_EF.xlsx
2105 2T24 0421 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2105_2T24_0421_JIMELUZ_TJ.xlsx
2106 2T24 0424 REICHELT TF.pdf,REICHELT,23-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2106_2T24_0424_REICHELT_TF.xlsx
2107 2T24 0426 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2107_2T24_0426_BM_TJ.xlsx
2108 2T24 0427 JIMELUZ 2 EF.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2108_2T24_0427_JIMELUZ_2_EF.xlsx
